LHO.IDN,LHO.KUT,LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
001E,055F63,2018060609,0900,79.6,17.26,83.6,E,1,H,80,V,202,975,208,991,969,216,237,1045,0,0,0,0,0,0,0,0,2018060615
001E,055F63,2018060610,1000,76.82,16.6,78.48,E,1,H,80,V,214,981,215,955,959,204,197,946,0,0,0,0,0,0,0,0,2018060616
001E,055F63,2018060611,1100,76.92,16.6,80.96,E,1,H,80,V,199,938,199,926,970,210,222,1012,0,0,0,0,0,0,0,0,2018060617
001E,055F63,2018060612,1200,78.22,16.52,81.04,E,1,H,80,V,193,971,218,1013,922,185,230,1005,0,0,0,0,0,0,0,0,2018060618
001E,055F63,2018060613,1300,75.9,17.66,77.44,E,1,H,80,V,226,968,231,961,960,234,192,906,0,0,0,0,0,0,0,0,2018060619
001E,055F63,2018060614,1400,72.76,15.46,78.08,E,1,H,80,V,181,900,189,906,856,191,212,976,0,0,0,0,0,0,0,0,2018060620
001E,055F63,2018060615,1500,79.4,15.9,81.12,E,1,H,80,V,195,1001,211,1014,956,189,200,999,0,0,0,0,0,0,0,0,2018060621
001E,055F63,2018060515,1500,75.1,16.24,80.24,E,1,H,80,V,195,924,198,930,898,197,222,1003,0,0,0,0,0,0,0,0,2018060521
001E,055F63,2018060516,1600,75.28,16.18,78.88,E,1,H,80,V,187,909,219,986,941,191,212,928,0,0,0,0,0,0,0,0,2018060522
001E,055F63,2018060517,1700,74.84,16.12,79.68,E,1,H,80,V,184,930,207,929,887,185,230,996,0,0,0,0,0,0,0,0,2018060523
001E,055F63,2018060518,1800,77.18,16.12,79.76,E,1,H,80,V,186,934,213,997,947,190,217,981,0,0,0,0,0,0,0,0,2018060600
001E,055F63,2018060519,1900,69.7,14.62,72.16,E,1,H,80,V,171,863,201,902,837,178,181,883,0,0,0,0,0,0,0,0,2018060601
001E,055F63,2018060520,2000,62.06,11.7,64.8,E,1,H,80,V,142,726,143,789,810,154,146,778,0,0,0,0,0,0,0,0,2018060602
001E,055F63,2018060521,2100,59.2,9.96,64.32,E,1,H,80,V,124,763,106,643,804,141,127,750,0,0,0,0,0,0,0,0,2018060603
001E,055F63,2018060522,2200,53.78,10.34,64.4,E,1,H,80,V,130,695,144,793,805,155,88,396,0,0,0,0,0,0,0,0,2018060604
001E,055F63,2018060523,2300,10.7,2.9,16.16,E,1,H,80,V,32,107,19,81,202,37,57,145,0,0,0,0,0,0,0,0,2018060605
001E,055F63,2018060524,2400,7.48,2.02,9.68,E,1,H,80,V,25,96,15,77,121,43,18,80,0,0,0,0,0,0,0,0,2018060606
001E,055F63,2018060601,0100,6.3,1.28,6.4,E,1,H,80,V,15,79,18,80,79,18,13,77,0,0,0,0,0,0,0,0,2018060607
001E,055F63,2018060602,0200,6.24,1.32,6.32,E,1,H,80,V,17,79,14,76,79,18,17,78,0,0,0,0,0,0,0,0,2018060608
001E,055F63,2018060603,0300,7.9,2.28,11.2,E,1,H,80,V,18,81,28,96,78,16,52,140,0,0,0,0,0,0,0,0,2018060609
001E,055F63,2018060604,0400,11.64,4.6,11.92,E,1,H,80,V,60,149,55,143,144,56,59,146,0,0,0,0,0,0,0,0,2018060610
001E,055F63,2018060605,0500,11.98,4.7,13.04,E,1,H,80,V,55,145,57,145,146,58,65,163,0,0,0,0,0,0,0,0,2018060611
001E,055F63,2018060606,0600,10.92,3.7,11.6,E,1,H,80,V,40,130,54,143,145,55,36,128,0,0,0,0,0,0,0,0,2018060612
