LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
2016042723,2300,1,0.3,1.12,E,1,H,80,V,5,14,3,11,14,4,3,11,0,0,0,0,0,0,0,0,2016042805
2016042724,2400,1.08,0.36,1.2,E,1,H,80,V,3,11,5,14,15,6,4,14,0,0,0,0,0,0,0,0,2016042806
2016042801,0100,3.92,1.74,4.64,E,1,H,80,V,27,55,21,58,52,23,16,31,0,0,0,0,0,0,0,0,2016042807
2016042802,0200,4.28,1.82,11.6,E,1,H,80,V,6,14,20,29,26,13,52,145,0,0,0,0,0,0,0,0,2016042808
2016042803,0300,9.38,2.6,11.92,E,1,H,80,V,19,83,42,140,97,26,43,149,0,0,0,0,0,0,0,0,2016042809
2016042804,0400,9.86,2.02,11.52,E,1,H,80,V,23,126,36,144,113,22,20,110,0,0,0,0,0,0,0,0,2016042810
2016042805,0500,11.32,2.66,13.44,E,1,H,80,V,41,159,21,113,168,45,26,126,0,0,0,0,0,0,0,0,2016042811
2016042806,0600,13.6,2.88,14.96,E,1,H,80,V,36,186,24,140,187,42,42,167,0,0,0,0,0,0,0,0,2016042812
2016042807,0700,13.16,3.12,15.04,E,1,H,80,V,27,128,48,188,163,34,47,179,0,0,0,0,0,0,0,0,2016042813
2016042907,0700,13.18,3.34,14.48,E,1,H,80,V,25,127,54,181,177,40,48,174,0,0,0,0,0,0,0,0,2016042913
2016043012,1200,0,0.1,0,E,1,H,80,V,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,2016043018
2016043013,1300,0,0,0,E,1,H,80,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016043019
2016043014,1400,0,0,0,E,1,H,80,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016043020
2016043015,1500,0,0,0,E,1,H,80,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016043021
2016043016,1600,0,0,0,E,1,H,80,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016043022
2016043017,1700,0,0,0,E,1,H,80,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016043023
2016043018,1800,0.02,0.06,0.08,E,1,H,80,V,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2016050100
2016043019,1900,1.04,0.66,2.16,E,1,H,80,V,11,17,7,5,3,4,11,27,0,0,0,0,0,0,0,0,2016050101
2016043020,2000,2.66,0.5,3.12,E,1,H,80,V,6,39,11,37,30,8,0,27,0,0,0,0,0,0,0,0,2016050102
2016043021,2100,1.08,0.42,1.2,E,1,H,80,V,6,14,3,11,14,6,6,15,0,0,0,0,0,0,0,0,2016050103
2016043022,2200,1.02,0.36,1.12,E,1,H,80,V,6,14,6,14,11,3,3,12,0,0,0,0,0,0,0,0,2016050104
2016043023,2300,1.08,0.38,1.2,E,1,H,80,V,3,11,6,14,14,6,4,15,0,0,0,0,0,0,0,0,2016050105
2016043024,2400,1.02,0.36,1.2,E,1,H,80,V,5,14,7,15,11,3,3,11,0,0,0,0,0,0,0,0,2016050106
2016050101,0100,3.92,1.62,4.72,E,1,H,80,N,24,59,20,55,55,25,12,27,0,0,0,0,0,0,0,0,2016050107
2016050102,0200,1.68,0.78,2.24,E,1,H,80,N,6,14,14,28,28,15,4,14,0,0,0,0,0,0,0,0,2016050108
2016050103,0300,1.22,0.38,1.92,E,1,H,80,N,3,12,6,14,11,3,7,24,0,0,0,0,0,0,0,0,2016050109
2016050104,0400,3.28,0.62,3.36,E,1,H,80,N,9,42,5,39,42,9,8,41,0,0,0,0,0,0,0,0,2016050110
2016050105,0500,3.22,0.56,3.36,E,1,H,80,N,9,42,8,42,39,6,5,38,0,0,0,0,0,0,0,0,2016050111
2016050106,0600,3.28,0.62,3.36,E,1,H,80,N,8,42,5,38,42,9,9,42,0,0,0,0,0,0,0,0,2016050112
2016050107,0700,3.1,0.6,3.36,E,1,H,80,N,8,40,8,42,38,6,8,35,0,0,0,0,0,0,0,0,2016050113
2016050108,0800,2.52,0.78,2.96,E,1,H,80,N,11,31,7,30,37,11,10,28,0,0,0,0,0,0,0,0,2016050114
2016050109,0900,0.7,0.56,1.44,E,1,H,80,N,6,3,11,11,18,8,3,3,0,0,0,0,0,0,0,0,2016050115
